seed,policy,steps,total_reward,valid_scenario,titan_success,spot_success,team_success,titan_failed,spot_failed,titan_wall_collision,spot_wall_collision,titan_robot_collision,spot_robot_collision,titan_tipped,spot_tipped,titan_goal_step,spot_goal_step,titan_final_goal_distance,spot_final_goal_distance,min_robot_distance,titan_action_mae,spot_action_mae
27,depth4_e,80,62.63385520824402,True,False,False,False,True,True,True,False,False,True,True,False,,,4.295740546198297,6.57136527308635,1.4391030073165894,0.39304288111313884,0.8164543279271615
27,depth6_e,35,34.69958831568928,True,False,False,False,True,True,False,False,True,True,False,False,,,5.456237286707651,6.23958511333501,0.8218096494674683,0.30790771127751415,0.7418647110758776
27,high_fidelity_e,42,50.75827343510372,True,False,False,False,True,True,False,False,True,True,False,False,,,4.920619957170282,6.077157153514342,0.8001807928085327,0.34569364931730445,0.5818133760318654
28,ppo,200,1164.9870901105194,True,False,True,False,True,False,True,False,False,False,True,False,,109,5.23261392402739,1.378139112405673,1.1775918006896973,,
28,depth4_e,97,72.21526161524488,True,False,False,False,True,True,False,False,True,True,False,False,,,5.621704205891183,4.242092407867328,1.2199195623397827,0.639340157767395,0.8273626291052996
28,depth6_e,200,1281.6554879479493,True,False,True,False,True,False,True,False,False,False,True,False,,124,5.110756429222572,2.3645035668194616,1.4594886302947998,0.6468026109258121,0.49774454703602594
28,high_fidelity_e,200,1259.5701111046296,True,False,True,False,True,False,True,False,False,False,True,False,,108,5.110756429222572,1.248863683241838,1.5135180950164795,0.72219219429883,0.4119319395030817
29,ppo,200,1175.553031353813,True,False,True,False,True,False,True,False,False,False,True,False,,109,4.72847684890207,1.2985471356784464,1.4973499774932861,,
29,depth4_e,100,117.78450393527524,True,False,False,False,True,True,False,False,True,True,False,False,,,5.4452010818077525,4.264226424678997,1.2987996339797974,0.69075503566939,1.051918183012542
29,depth6_e,125,138.74347680658667,True,False,False,False,True,True,False,False,True,True,False,False,,,5.478354703686924,5.0672565824767055,1.107682704925537,0.8386967956035114,0.9957400886685074
29,high_fidelity_e,200,1273.2503668949255,True,False,True,False,True,False,True,False,False,False,True,False,,109,4.6270228615457825,1.4438750691096327,1.4968526363372803,0.7838871297446554,0.4503659689197474
30,ppo,184,20.88716016202496,True,False,False,False,True,True,True,False,False,True,True,False,,,4.4326778560016775,6.6081565443167,1.3851161003112793,,
30,depth4_e,54,68.48275578967382,True,False,False,False,True,True,True,False,False,True,False,False,,,4.498421783232198,6.359631943089041,1.2954272031784058,0.433711198785738,0.7459438045300815
30,depth6_e,41,51.20191249921038,True,False,False,False,True,True,False,False,True,True,False,False,,,5.052892531064906,5.56385942438455,0.8569485545158386,0.3591161872217752,1.1266532648839336
30,high_fidelity_e,39,58.2413519778249,True,False,False,False,True,True,False,False,True,True,False,False,,,5.20942805349055,5.6905367067461965,0.8971179127693176,0.3710586424372024,0.9265801435861966
31,ppo,58,66.19344102751339,True,False,False,False,True,True,True,False,False,True,False,False,,,4.957846682749531,6.250326382218035,1.5047239065170288,,
31,depth4_e,62,60.26048520837846,True,False,False,False,True,True,True,False,False,True,False,False,,,4.938104882754552,6.188105432877529,1.4315012693405151,0.3924346169000153,0.7275797112342253
31,depth6_e,36,29.579306124425713,True,False,False,False,True,True,False,False,True,True,False,False,,,5.392936628502499,6.11079482484917,1.0606179237365723,0.18181159210807057,0.6005303268683353
31,high_fidelity_e,42,44.10349271916279,True,False,False,False,True,True,True,False,True,True,False,False,,,4.976954480199676,6.061462247220313,1.3525177240371704,0.27245212264947744,0.8612653486978927
32,ppo,200,1230.2021362700905,True,False,True,False,True,False,True,False,False,False,False,False,,107,4.320931340059366,1.031602239495078,2.144934892654419,,
